StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,11,13.95,Z,0,5050703626354,,,N,
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,12,13.95,Z,5,5050703626361,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,13,13.95,Z,20,5050703626378,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,1,13.95,Z,20,5050703626309,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,2,13.95,Z,20,5050703626316,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,3,13.95,Z,20,5050703626323,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,4,13.95,Z,20,5050703626330,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,5,13.95,Z,20,5050703626347,,,N,AUGB
B 014B,GOOR,,Brown,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,5.5,13.95,Z,0,5050703626385,,,N,AUGB
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,10,11.95,Z,10,5050703479820,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,11,11.95,Z,20,5050703479837,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,12,11.95,Z,20,5050703479844,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,13,11.95,Z,20,5050703460781,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,1,11.95,Z,20,5050703460736,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,2,11.95,Z,20,5050703460743,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,3,11.95,Z,20,5050703460750,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,4,11.95,Z,20,5050703460767,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,5,11.95,Z,20,5050703460774,,,N,
B 014LT,GOOR,,Tan,PU,5 Eyelet Brogue Oxford Shoe,Resin Sole,64029991,CN,0.562,,,UK,5.5,11.95,Z,20,5050703460798,,,N,
B 040F,PDQ,,Grey/Red,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,4,9.95,Z,20,5050703311021,,,N,
B 040F,PDQ,,Grey/Red,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,5,9.95,Z,20,5050703311038,,,N,
B 040F,PDQ,,Grey/Red,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,6,9.95,Z,20,5050703311045,,,N,
B 040T,PDQ,,Dark Taupe/Orange,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,4,9.95,Z,20,5050703310987,,,N,
B 040T,PDQ,,Dark Taupe/Orange,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,5,9.95,Z,20,5050703310994,,,N,
B 040T,PDQ,,Dark Taupe/Orange,Synthetic Nubuck,Toggle/Touch Fastening Trail Sandal,TPR Sole,64029939,CN,0.51,,,UK,6,9.95,Z,20,5050703311007,,,N,
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,13,12.59,Z,16,5050703001502,,,N,
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,1,12.59,Z,20,5050703001403,,,N,
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,2,12.59,Z,20,5050703001410,,,N,AUGB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,3,12.75,Z,20,5050703001427,,,N,AUGB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,4,12.75,Z,20,5050703001434,,,N,AUGB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,5,12.75,Z,20,5050703001441,,,N,AUGB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,5.5,12.75,Z,20,5050703510271,,,N,AUGB
B 157A,ROUTE 21,,Black,Coated Action Leather,Apron Para Shoe,Wedge TR Sole,64039991,CN,0.58,,,UK,6,12.75,Z,20,5050703001458,,,N,AUGB
B 1881A,ROUTE 21,MONTY,Black,PU,4 Eyelet Apron Boat Shoe,TPR Sole,64029991,CN,0.728,,,UK,3,8.75,Z,20,5050703657310,,,N,SEPB
B 1881A,ROUTE 21,MONTY,Black,PU,4 Eyelet Apron Boat Shoe,TPR Sole,64029991,CN,0.728,,,UK,4,8.75,Z,20,5050703657327,,,N,SEPB
B 1881A,ROUTE 21,MONTY,Black,PU,4 Eyelet Apron Boat Shoe,TPR Sole,64029991,CN,0.728,,,UK,5,8.75,Z,20,5050703657334,,,N,SEPB
B 1881A,ROUTE 21,MONTY,Black,PU,4 Eyelet Apron Boat Shoe,TPR Sole,64029991,CN,0.728,,,UK,6,8.75,Z,20,5050703657341,,,N,SEPB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,10,13.95,Z,11,5050703483117,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,11,13.95,Z,20,5050703483124,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,12,13.95,Z,20,5050703483131,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,13,13.95,Z,20,5050703460729,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,1,13.95,Z,20,5050703460668,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,2,13.95,Z,20,5050703460675,,,N,
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,3,13.95,Z,20,5050703460682,,,N,AUGB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,4,13.95,Z,20,5050703460699,,,N,AUGB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,5,13.95,Z,20,5050703460705,,,N,AUGB
B 370A,GOOR,,Black,PU,5 Eye Brogue Oxford Shoe,Resin Sole,64029991,CN,0.508,,,UK,5.5,13.95,Z,6,5050703460712,,,N,AUGB
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,8,7.49,Z,16,5050703642453,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,9,7.49,Z,7,5050703642460,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,10,7.49,Z,20,5050703642477,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,11,7.49,Z,20,5050703642484,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,12,7.49,Z,20,5050703642491,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,13,7.49,Z,20,5050703642507,,,N,
B 407A,ROUTE 21,,Black,PU,Touch Fastening / Elastic Lace Trainer Shoe,TPR Sole,64029991,CN,0.376,,,UK,1,7.49,Z,20,5050703642408,,,N,
